#(threads),time taken(in ns)
1434,64608957
1435,63971275
1436,66457771
1437,63565975
1438,64481404
1439,66023448
1440,65182891
1441,66752131
1442,64144052
1443,64281921
1444,64765266
1445,68084488
1446,64778905
1447,63725004
1448,62703013
1449,68512719
1450,67409551
1451,63699359
1452,65265487
1453,66698900
1454,64734606
1455,64182930
1456,65329049
1457,66612320
1458,64588741
1459,66904727
1460,64136007
1461,65691326
1462,65903257
1463,67359399
1464,63683529
1465,66082116
1466,65524853
1467,66975549
1468,66359305
1469,64043154
1470,63928628
1471,66113700
1472,67402923
1473,66089228
1474,67147265
1475,63068455
1476,64387935
1477,65342863
1478,66563473
1479,69074163
1480,64698360
1481,66628156
1482,66357963
1483,66878812
1484,65655915
1485,67798666
1486,63600876
1487,100314698
1488,65768055
1489,65380186
1490,66500474
1491,66809733
1492,64481135
1493,64372085
1494,66959780
1495,65943853
1496,68789166
1497,66069081
1498,66436885
1499,65799354
1500,66197688
1501,63960885
1502,65048181
1503,65772132
1504,66697707
1505,68337962
1506,68136032
1507,65720069
1508,66184882
1509,66253718
1510,65988336
1511,67935509
1512,69457676
1513,66405944
1514,68469264
1515,66491802
1516,67166992
1517,67562733
1518,65796200
1519,66642057
1520,67450458
1521,67259004
1522,68360382
1523,66883196
1524,67833982
1525,67419429
1526,67169286
1527,66900329
1528,65812952
1529,66360173
1530,66752042
1531,66895099
1532,65938575
1533,67919353
1534,66606258
1535,66827707
1536,65353750
1537,69942656
1538,66535685
1539,66683215
1540,66208514
1541,68299415
1542,66963240
1543,65890265
1544,67657104
1545,67052007
1546,66671766
1547,66116276
1548,66046354
1549,67234131
1550,68512319
1551,67401144
1552,67972488
1553,66065740
1554,70185441
1555,67883406
1556,68091371
1557,66265241
1558,69085801
1559,67987443
1560,67244282
1561,68770588
1562,66437660
1563,68677640
1564,66545440
1565,64648385
1566,67491801
1567,69000575
1568,68066082
1569,69795812
1570,66842322
1571,67189547
1572,65341211
1573,66106124
1574,66916114
1575,68194077
1576,68199817
1577,68098842
1578,66968082
1579,70208877
1580,66384815
1581,84812922
1582,67469036
1583,66911450
1584,67728678
1585,67408480
1586,66594685
1587,67420985
1588,68792329
1589,67842278
1590,66590438
1591,66632178
1592,67631555
1593,68417299
1594,69153179
1595,68135619
1596,70007247
1597,67493845
1598,70553818
1599,68714807
1600,68997303
1601,68916618
1602,67887770
1603,67077910
1604,66737260
1605,68989337
1606,69465645
1607,67960062
1608,67670925
1609,68806657
1610,66788456
1611,67127593
1612,67374389
1613,68257798
1614,66966386
1615,68462790
1616,68399384
1617,68677343
1618,68367998
1619,68786132
1620,69571715
1621,68088867
1622,67162446
1623,69798124
1624,69759199
1625,66363182
1626,66992134
1627,67747671
1628,69423339
1629,68503847
1630,67555012
1631,67312602
1632,71855674
1633,69000964
1634,69407699
1635,69802606
1636,68786959
1637,67737945
1638,71000762
1639,68652922
