15,15,45104622
16,15,45300459
17,15,48267228
18,15,50573208
19,15,47236968
20,15,46454041
21,15,46822592
22,15,43667140
23,15,47338459
24,15,53275190
25,15,47294827
26,15,47766360
27,15,48182831
28,15,49222057
29,15,47034488
30,15,47429500
40,15,48124180
50,15,46641112
60,15,44440138
70,15,48318405
80,15,47435230
90,15,44266364
100,15,43976229
200,15,58681039
300,15,46715321
400,15,41149154
500,15,50622921
600,15,43526438
700,15,48347680
800,15,43279064
900,15,44301851
1000,15,45716009
2000,15,43549521
1,16,60209484
2,16,39393094
3,16,43283092
4,16,50202405
5,16,49415721
6,16,47292914
7,16,44865586
8,16,40995055
9,16,48296174
10,16,49160974
11,16,44898387
12,16,45722773
13,16,42372746
14,16,44962808
15,16,44118757
16,16,44274560
17,16,45985165
18,16,41965834
19,16,41389815
20,16,45143227
21,16,42550901
22,16,49741994
23,16,40547376
24,16,47585313
25,16,45691965
26,16,42797814
27,16,47323141
28,16,47883471
29,16,48791012
30,16,53695570
40,16,44020855
50,16,43098737
60,16,48878936
70,16,44519539
80,16,43855024
90,16,42463096
100,16,41709654
200,16,43521560
300,16,48890088
400,16,41142483
500,16,41127836
600,16,51043934
700,16,50571658
800,16,46409461
900,16,46074503
1000,16,46356421
2000,16,52885795
1,17,52900653
2,17,47293277
3,17,43723358
4,17,44597917
5,17,42212528
6,17,45564387
7,17,42035185
8,17,44576767
9,17,56140703
10,17,47692635
11,17,43131309
12,17,50280764
13,17,45786134
14,17,48121278
15,17,42818082
16,17,52891536
17,17,43277694
18,17,43601321
19,17,46166816
20,17,44823711
21,17,51374174
22,17,42723145
23,17,46982615
24,17,42659246
25,17,44403353
26,17,46830902
27,17,46242840
28,17,48843783
29,17,48675948
30,17,43109379
40,17,41526193
50,17,43321245
60,17,47986307
70,17,41773156
80,17,48259008
90,17,47758600
100,17,47306052
200,17,44491880
300,17,41798242
400,17,42937037
500,17,44333152
600,17,47045664
700,17,44558234
800,17,39862977
900,17,47411400
1000,17,42341911
2000,17,43855728
1,18,61553807
2,18,48729289
3,18,47952714
4,18,41934629
5,18,47412732
6,18,44376524
7,18,45192652
8,18,48032204
9,18,46260645
10,18,44060193
11,18,41217094
12,18,47383669
13,18,42641364
14,18,42851418
15,18,48499439
16,18,45170122
17,18,42250742
18,18,50135895
19,18,46890505
20,18,47690754
21,18,44966830
22,18,40309335
23,18,40532512
24,18,46901986
25,18,48664068
26,18,43390748
27,18,47154599
28,18,46248532
29,18,46725917
30,18,46966928
40,18,46948394
50,18,44630231
60,18,45650042
70,18,50380925
80,18,49834822
90,18,46780259
100,18,49520012
200,18,42470474
300,18,47194585
400,18,43540659
500,18,44515987
600,18,44947776
700,18,48534255
800,18,44657632
900,18,54658110
1000,18,45732336
2000,18,43977688
1,19,47797996
2,19,41415859
3,19,49432319
4,19,46454920
5,19,42800513
6,19,44067817
7,19,44692469
8,19,43852915
9,19,45729752
10,19,48955516
11,19,47591230
12,19,48999869
13,19,54347639
14,19,45690970
15,19,44902211
16,19,49906698
17,19,44165932
18,19,53040229
19,19,46326128
20,19,46994852
